epoch,train_loss,validation_loss
1.0,0.1404725449780623,0.14413581788539886
2.0,0.1386610915263494,0.1420760378241539
3.0,0.1371136891345183,0.14088231697678566
4.0,0.13532761484384537,0.14041678607463837
5.0,0.13593016068140665,0.13974827900528908
6.0,0.13348652670780817,0.13931914046406746
7.0,0.1365008975068728,0.13895674049854279
8.0,0.1362909935414791,0.1389094516634941
9.0,0.1356001819173495,0.13832565769553185
10.0,0.12805703903237978,0.13736393302679062
11.0,0.13443649436036745,0.13675245642662048
12.0,0.1317394475142161,0.1368693709373474
13.0,0.13177532826860747,0.13639212399721146
14.0,0.12710619966189066,0.1369016245007515
15.0,0.1324191316962242,0.13710227608680725
16.0,0.12938308839996657,0.13546036183834076
17.0,0.13237315167983374,0.13640426099300385
18.0,0.12696083635091782,0.1351480670273304
19.0,0.12579350670178732,0.13343879580497742
20.0,0.1242262398203214,0.13485538214445114
21.0,0.12127694984277089,0.13324762880802155
22.0,0.12724000215530396,0.13344620913267136
23.0,0.12609849000970522,0.13246802240610123
24.0,0.1271976518134276,0.1318649835884571
25.0,0.12843027090032896,0.13320621848106384
26.0,0.12851221238573393,0.1304316259920597
27.0,0.12425887833038966,0.1310150809586048
28.0,0.12827021007736525,0.1313413679599762
29.0,0.130954439441363,0.128778874874115
30.0,0.1220864752928416,0.12915759906172752
31.0,0.12240161498387654,0.1290208399295807
32.0,0.12084524581829707,0.12974824756383896
33.0,0.12188168118397395,0.12863682582974434
34.0,0.12448467190066974,0.12856921553611755
35.0,0.1221140871445338,0.12664391100406647
36.0,0.1225198395550251,0.12997063994407654
37.0,0.1191278484960397,0.12489934638142586
38.0,0.12869381407896677,0.12845944240689278
39.0,0.11886633063356082,0.12725915759801865
40.0,0.12070426965753238,0.1267838291823864
41.0,0.12335412700970967,0.1289934404194355
42.0,0.11483741365373135,0.12552567571401596
43.0,0.12225745369990666,0.12605838105082512
44.0,0.11454462508360545,0.12643278390169144
45.0,0.11991218353311221,0.1252332367002964
46.0,0.11707552149891853,0.12604179233312607
47.0,0.11906194438536961,0.12440981715917587
48.0,0.11492468913396199,0.12393942847847939
49.0,0.11601729691028595,0.12388266995549202
50.0,0.12003672868013382,0.12504330649971962
51.0,0.11914701387286186,0.12578096240758896
52.0,0.11682893459995587,0.12267564982175827
53.0,0.11338004097342491,0.1248997300863266
54.0,0.11893138910333316,0.12443497776985168
55.0,0.11878777295351028,0.1233036257326603
56.0,0.11407465736071269,0.12479782477021217
57.0,0.1144936407605807,0.12225652486085892
58.0,0.11477059498429298,0.12342717126011848
59.0,0.11544050524632136,0.12280605360865593
60.0,0.11873513832688332,0.12433663755655289
