epoch,train_loss,validation_loss
1.0,0.1798927883307139,0.1756867840886116
2.0,0.12654206405083337,0.12864328548312187
3.0,0.09128853678703308,0.10990374907851219
4.0,0.0832150826851527,0.10773760452866554
5.0,0.07879134267568588,0.09835182875394821
6.0,0.0727338579793771,0.09233959577977657
7.0,0.06999481407304604,0.09132017567753792
8.0,0.07008735959728558,0.09167670644819736
9.0,0.06531679071485996,0.09147829376161098
10.0,0.06311385706067085,0.09072035178542137
11.0,0.06194706323246161,0.08914224058389664
12.0,0.06010168232023716,0.08809285797178745
13.0,0.05864534713327885,0.08796478435397148
14.0,0.05783935139576594,0.08631928637623787
15.0,0.05520366753141085,0.0857440996915102
16.0,0.05521273923416933,0.08514037542045116
17.0,0.05295707347492377,0.08373020403087139
18.0,0.053373189022143684,0.08316191472113132
19.0,0.05074828676879406,0.08264345861971378
20.0,0.050020103032390274,0.08257882297039032
21.0,0.049163188164432846,0.08187872357666492
22.0,0.04789750277996063,0.08199843019247055
23.0,0.047191726664702095,0.08199001103639603
24.0,0.047448444490631424,0.08128645084798336
25.0,0.0450738879541556,0.08009256422519684
26.0,0.0441430335243543,0.08028522320091724
27.0,0.04346106263498465,0.07978840731084347
28.0,0.04373703834911188,0.07910217344760895
29.0,0.042355092242360115,0.0778268612921238
30.0,0.041846023251612983,0.07823187671601772
31.0,0.0417144118497769,0.07706966623663902
32.0,0.040976315115888916,0.07617514953017235
33.0,0.040031781420111656,0.0758239347487688
34.0,0.039930712431669235,0.07547770626842976
35.0,0.03943659241000811,0.07458403706550598
36.0,0.039118984093268715,0.07319982536137104
37.0,0.03969763902326425,0.0733763575553894
38.0,0.038642305259903274,0.07182435691356659
39.0,0.037687347580989204,0.07347962073981762
40.0,0.03745482675731182,0.07160025835037231
41.0,0.03803392810126146,0.07261638529598713
42.0,0.03749759184817473,0.07230713404715061
43.0,0.03771875239908695,0.07112797163426876
44.0,0.03754511630783478,0.07195615954697132
45.0,0.03710464450220267,0.07162703946232796
46.0,0.03702382588138183,0.07078937627375126
47.0,0.03548233583569527,0.07017025910317898
48.0,0.036812709333995976,0.07093056663870811
49.0,0.035635385662317276,0.07007734850049019
50.0,0.035348099966843925,0.0713296364992857
51.0,0.03510448429733515,0.07020225189626217
52.0,0.035547600127756596,0.06979959644377232
53.0,0.03578153004248937,0.07069741934537888
54.0,0.03595875451962153,0.06920318678021431
55.0,0.03586010510722796,0.06873730197548866
56.0,0.03482197783887386,0.06813900358974934
57.0,0.034479397969941296,0.07029603235423565
58.0,0.03407216009994348,0.06708469428122044
59.0,0.03351353264103333,0.07024902664124966
60.0,0.03331764508038759,0.06772414222359657
