condition,model_seed,horizon_steps,metric,mae,sample_count
No physical features,44,1,blocked_delta,0.2656540407174373,1580
No physical features,44,3,delta_time_sec,3.5778696578514726,1580
No physical features,44,3,delta_energy_wh,1.5885320929409583,1580
No physical features,44,3,blocked_delta,0.31945122142758553,1580
No physical features,44,5,delta_time_sec,3.721736597788485,1580
No physical features,44,5,delta_energy_wh,1.7806991542630557,1580
No physical features,44,5,blocked_delta,0.37212968000411234,1580
No physical features,44,10,delta_time_sec,4.694547510977033,1580
No physical features,44,10,delta_energy_wh,2.3509283433043504,1580
No physical features,44,10,blocked_delta,0.5133672606577224,1580
Data-only graph,42,1,delta_time_sec,3.8495281445074685,1580
Data-only graph,42,1,delta_energy_wh,1.5340698234453987,1580
Data-only graph,42,1,blocked_delta,0.27583222270624924,1580
Data-only graph,42,3,delta_time_sec,3.9123596644099754,1580
Data-only graph,42,3,delta_energy_wh,1.7123086533403096,1580
Data-only graph,42,3,blocked_delta,0.3335667159927042,1580
Data-only graph,42,5,delta_time_sec,4.069774512852295,1580
Data-only graph,42,5,delta_energy_wh,1.8196409764169137,1580
Data-only graph,42,5,blocked_delta,0.37288415833741806,1580
Data-only graph,42,10,delta_time_sec,5.13193495137782,1580
Data-only graph,42,10,delta_energy_wh,2.436516276643246,1580
Data-only graph,42,10,blocked_delta,0.4852920393542021,1580
Data-only graph,43,1,delta_time_sec,3.4924472559101973,1580
Data-only graph,43,1,delta_energy_wh,1.4633904526128045,1580
Data-only graph,43,1,blocked_delta,0.2608921249573932,1580
Data-only graph,43,3,delta_time_sec,3.690332740545273,1580
Data-only graph,43,3,delta_energy_wh,1.662562220213534,1580
Data-only graph,43,3,blocked_delta,0.31286244595281876,1580
Data-only graph,43,5,delta_time_sec,3.9050786079485205,1580
Data-only graph,43,5,delta_energy_wh,1.7775986981448493,1580
Data-only graph,43,5,blocked_delta,0.357428146179624,1580
Data-only graph,43,10,delta_time_sec,4.881730906721912,1580
Data-only graph,43,10,delta_energy_wh,2.4436693305927744,1580
Data-only graph,43,10,blocked_delta,0.5047781095285959,1580
Data-only graph,44,1,delta_time_sec,3.614678084473067,1580
Data-only graph,44,1,delta_energy_wh,1.5414445698638506,1580
