episode_id,decision_states,direct_mean_regret,absolute_mean_regret,absolute_minus_direct_regret,direct_top1,absolute_top1
0,33,0.41983251250925124,0.1660516696671228,-0.2537808428421284,0.30303030303030304,0.21212121212121213
1,35,0.20101694303069628,0.15451707710713525,-0.04649986592356107,0.2857142857142857,0.22857142857142856
2,35,0.35103905054400386,0.5973062433143467,0.24626719277034276,0.42857142857142855,0.14285714285714285
3,33,0.5283227810936474,0.9094473103794347,0.3811245292857874,0.42424242424242425,0.15151515151515152
4,35,0.197757735855177,0.5454776616139886,0.3477199257588116,0.5428571428571428,0.22857142857142856
5,35,0.5794106141194896,0.9532416209458361,0.37383100682634646,0.37142857142857144,0.14285714285714285
6,34,0.1736743130343279,0.3884050721343138,0.21473075909998587,0.38235294117647056,0.11764705882352941
7,35,0.3640103008111786,0.5001166641246848,0.1361063633135062,0.4857142857142857,0.2
8,35,0.3737755568756367,0.1656583808350198,-0.20811717604061683,0.45714285714285713,0.22857142857142856
9,34,0.22012682467352665,0.271018874756157,0.05089205008263028,0.4411764705882353,0.08823529411764706
10,33,0.6017557226533358,0.5592360511300812,-0.04251967152325454,0.42424242424242425,0.12121212121212122
11,33,0.15794425293775768,0.31405087488278366,0.15610662194502598,0.2727272727272727,0.24242424242424243
