episode_id,state_id,direct_regret,absolute_regret,absolute_minus_direct_regret,direct_top1,absolute_top1,baseline_regret
2.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1360.0,0.0,3.9295937706108393,3.9295937706108393,1.0,0.0,3.9295937706108393
2.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1520.0,0.0,0.19034666895568053,0.19034666895568053,1.0,0.0,0.19034666895568053
2.0,1600.0,0.0,0.12461840771649355,0.12461840771649355,1.0,0.0,0.12461840771649355
2.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2000.0,0.0,0.43878482920955564,0.43878482920955564,1.0,0.0,0.43878482920955564
2.0,2080.0,0.0,0.019100049141937633,0.019100049141937633,1.0,0.0,0.019100049141937633
2.0,2160.0,0.0,0.09723678404461183,0.09723678404461183,1.0,0.0,0.09723678404461183
2.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2320.0,0.0,2.9977676178292505,2.9977676178292505,1.0,0.0,2.9977676178292505
2.0,2400.0,0.0,0.0,0.0,1.0,1.0,0.007472769969672295
2.0,2480.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,2560.0,0.0,0.0,0.0,1.0,1.0,0.05034457936536033
2.0,2640.0,0.035433458027007786,0.035433458027007786,0.0,0.0,0.0,0.035433458027007786
2.0,2720.0,0.0,0.0,0.0,1.0,1.0,0.07055393423424647
2.0,2800.0,0.0,1.2968725075908882,1.2968725075908882,1.0,0.0,1.6364388231135565
2.0,2880.0,0.0,0.9784094716124312,0.9784094716124312,1.0,0.0,0.7098882660025285
2.0,2960.0,0.0,0.8300932370068049,0.8300932370068049,1.0,0.0,0.8300932370068049
2.0,3040.0,2.395793660435262,2.395793660435262,0.0,0.0,0.0,1.6795330789151148
2.0,3120.0,2.3244001904782907,2.3244001904782907,0.0,0.0,0.0,0.0
2.0,3200.0,0.25959628888221675,0.25959628888221675,0.0,0.0,0.0,0.25959628888221675
2.0,3280.0,1.5530654979429337,1.5530654979429337,0.0,0.0,0.0,0.0
2.0,3360.0,0.0,0.0,0.0,1.0,1.0,2.3318123585440977
