episode_id,state_id,graph_regret,flat_regret,flat_minus_graph_regret,graph_top1,flat_top1,baseline_regret
0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1280.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1360.0,1.4956993399500549,1.4956993399500549,0.0,0.0,0.0,1.4704080499027543
0.0,1440.0,0.05620655880860504,0.05620655880860504,0.0,0.0,0.0,0.05620655880860504
0.0,1520.0,0.0,0.0,0.0,1.0,1.0,0.38350039969265265
0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1680.0,0.0,0.14214820646898518,0.14214820646898518,1.0,0.0,0.0
0.0,1760.0,0.0,0.0,0.0,1.0,1.0,1.090190364268434
0.0,1840.0,0.5245218477680236,0.5245218477680236,0.0,0.0,0.0,0.0
0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2000.0,0.0,0.0,0.0,1.0,1.0,0.06493315940243166
0.0,2080.0,0.0,0.0,0.0,1.0,1.0,0.30980856023339604
0.0,2160.0,0.0,0.0,0.0,1.0,1.0,0.38329330755450897
0.0,2240.0,0.007900601452544675,0.007900601452544675,0.0,0.0,0.0,0.0
0.0,2320.0,0.0,0.0,0.0,1.0,0.0,0.03345803121470267
0.0,2400.0,0.0,0.0,0.0,1.0,1.0,0.03345803121470267
0.0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2560.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,2640.0,0.02087033277727016,0.0,-0.02087033277727016,0.0,1.0,0.02087033277727016
0.0,2720.0,0.013596388170706616,0.4985201533816048,0.4849237652108982,0.0,0.0,0.0
0.0,2800.0,0.0,0.0,0.0,1.0,1.0,0.34851636161952304
0.0,2880.0,1.467983527876552,1.467983527876552,0.0,0.0,0.0,1.334795391290914
0.0,2960.0,0.5995723985774304,1.0552990284861103,0.45572662990867996,0.0,0.0,1.0552990284861103
0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3120.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3360.0,0.11838591834164436,0.11838591834164436,0.0,0.0,0.0,0.8670572989559645
0.0,3440.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,3520.0,0.028194734544081376,0.021054349921132233,-0.007140384622949143,0.0,0.0,0.021054349921132233
0.0,3600.0,0.02128839640787812,0.007277075638317539,-0.014011320769560583,0.0,0.0,0.02128839640787812
0.0,3680.0,0.0,5.5057551901862425,5.5057551901862425,0.0,0.0,0.0
0.0,3760.0,2.732814160969996,3.112556643196688,0.37974248222669216,0.0,0.0,2.732814160969996
0.0,3840.0,0.5460855233397446,2.794147072069415,2.2480615487296705,0.0,0.0,3.2858525337804974
0.0,3920.0,0.021054349921132233,0.013992636386164901,-0.0070617135349673316,0.0,0.0,0.021054349921132233
1.0,1200.0,0.0,1.7157409313742154,1.7157409313742154,1.0,0.0,0.0
1.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1360.0,0.0,0.0,0.0,1.0,1.0,0.4542004638937127
1.0,1440.0,0.0,0.0,0.0,1.0,1.0,0.817856875090941
1.0,1520.0,0.0,0.0,0.0,1.0,1.0,0.2984407074611076
1.0,1680.0,0.0,0.0,0.0,1.0,1.0,1.3728291707256073
1.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1840.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1920.0,0.0,0.0,0.0,1.0,1.0,0.09650649527390467
1.0,2000.0,0.6356853537389175,0.6356853537389175,0.0,0.0,0.0,0.0
1.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2160.0,0.0,0.0,0.0,1.0,1.0,0.16529716529417332
1.0,2240.0,0.11648486081516124,0.0,-0.11648486081516124,0.0,1.0,0.11648486081516124
1.0,2320.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2480.0,0.0,0.0,0.0,1.0,1.0,0.07919409787664805
1.0,2560.0,0.0,0.0,0.0,1.0,1.0,0.3140349004758165
1.0,2640.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,2720.0,0.0,0.0,0.0,1.0,1.0,0.4768439429050948
1.0,2800.0,0.0,0.0,0.0,1.0,1.0,0.18939419972969554
1.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2960.0,0.6720842099569094,0.6720842099569094,0.0,0.0,0.0,0.6720842099569094
1.0,3040.0,0.0,0.0,0.0,1.0,1.0,1.175667919581581
1.0,3120.0,0.0,0.0,0.0,1.0,1.0,0.7316921386986388
1.0,3200.0,0.37750042446560966,0.37750042446560966,0.0,0.0,0.0,0.37750042446560966
1.0,3280.0,0.0,0.3724874010562548,0.3724874010562548,1.0,0.0,0.3724874010562548
