epoch,train_loss,validation_loss
1.0,0.14071001981695494,0.14567124098539352
2.0,0.13792911171913147,0.14502407610416412
3.0,0.14565236866474152,0.144283264875412
4.0,0.13463994736472765,0.1434866264462471
5.0,0.1405253385504087,0.1427282989025116
6.0,0.14139732097585997,0.14220133051276207
7.0,0.13914514829715094,0.14190225675702095
8.0,0.13578126206994057,0.1416211575269699
9.0,0.14159094542264938,0.1414819173514843
10.0,0.13771909475326538,0.1413760893046856
11.0,0.1363696369032065,0.14123538881540298
12.0,0.13471771404147148,0.14114755392074585
13.0,0.13911795988678932,0.1409914530813694
14.0,0.13793705155452093,0.1408844105899334
15.0,0.14153705164790154,0.14076659455895424
16.0,0.13589522242546082,0.1406157910823822
17.0,0.1356083465119203,0.14061911776661873
18.0,0.14210461949308714,0.14065388962626457
19.0,0.13599679246544838,0.14075301960110664
20.0,0.13935032486915588,0.14073914289474487
21.0,0.13509871686498323,0.1407219097018242
22.0,0.13898885995149612,0.14074662700295448
23.0,0.13466869046290716,0.14077084511518478
24.0,0.13705402985215187,0.14102111756801605
25.0,0.14467544108629227,0.14113300293684006
26.0,0.1382996899386247,0.14120066538453102
