epoch,teacher_forcing_ratio,epoch_time_sec,train_time_sec,train_batches_per_sec,train_loss,train_agent_loss,train_position_loss,train_target_loss,train_node_loss,train_global_loss,train_kpi_loss,train_physics_loss,train_congestion_loss,train_future_risk_loss,valid_loss,valid_agent_loss,valid_position_loss,valid_target_loss,valid_node_loss,valid_global_loss,valid_kpi_loss,valid_physics_loss,valid_congestion_loss,valid_future_risk_loss
1.0,0.0,5.592481100000441,4.341078400000697,16.35538303108937,0.8732918559665411,0.032683879530555765,0.9521003927983028,0.3096311774472116,0.0032309569503692253,0.010671636955419056,0.01946012955158949,0.013191724930640678,0.01027131499066739,0.6586397907263796,1.3690481719871361,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.1418784151319414
2.0,0.0,5.506012199999532,4.252315599998838,16.696785158660237,0.6080375876225216,0.03287704700840191,0.95073092739347,0.3090416453254055,0.0032313046124304683,0.010691981985640357,0.01936360442040252,0.013137564469706004,0.010250569203160179,0.393724284541439,1.3878030901153882,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.160633338576493
3.0,0.0,5.345409999998083,4.101027199998498,17.312735697053167,0.5691737608170845,0.03282741457223892,0.9512550822446044,0.3103592647633082,0.0032361736685090083,0.01072472598875912,0.019533286015437523,0.013288773268356289,0.010337270225699939,0.35385265736512733,1.3215658105909824,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.0943960569954168
4.0,0.0,5.329153799997584,4.077879499996925,17.411009815285993,0.5578699598849659,0.0327080772061583,0.9519747772686918,0.30914544681428185,0.00323770580891992,0.010680126131210528,0.019427289976410463,0.013195129426222451,0.010269828416197233,0.3433416592822948,1.3568515287091334,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.129681783049212
5.0,0.0,5.34751480000341,4.096081600000616,17.333639056406817,0.5510875750595415,0.032726223383780936,0.9517276505349388,0.30951397729591584,0.003232725138421839,0.010666901285064891,0.019433619716847445,0.013157771205083586,0.010250342026038068,0.33658559746305705,1.3442237389584382,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.1170539826756187
6.0,0.0,5.521756499998446,4.274467699997331,16.610255354144876,0.5477782773299956,0.03268046910599084,0.9533462129848104,0.31018608094940725,0.003228468889318092,0.01068058882800626,0.019392787806794678,0.01314976660560974,0.010261483018247175,0.33334313354022066,1.2821381346633036,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.0549683835512649
7.0,0.0,5.3614009999982954,4.110025199999654,17.2748332540652,0.5408597240145777,0.03257804681402697,0.9477987642019567,0.30839558911155646,0.0032248579352621883,0.01069856766926151,0.019286391915569842,0.013086252786796277,0.010209117386437637,0.3274416058835849,1.3101821119586627,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.0830123644166936
8.0,0.0,5.335636899999372,4.080214199999318,17.40104722933709,0.5393796525370906,0.03263802183660823,0.9503481925373346,0.30887781965060973,0.0032309802859024684,0.010678285496755384,0.01938895117753828,0.013174229458918874,0.01027801726013422,0.3251721113920212,1.4661432728171349,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.2389735226752236
9.0,0.0,5.547991600000387,4.292465700000321,16.54060974791125,0.5321775674819946,0.032781453829416086,0.9506115888206053,0.3094479114236966,0.003241283412445599,0.010688298250692832,0.01944688893854618,0.013153625665311242,0.010255232151650208,0.3175887276589031,1.4281583807120721,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.2009886264180143
10.0,0.0,5.342503099996975,4.097210500000074,17.328863137492867,0.5306539783175562,0.03287677073352773,0.950515522083766,0.3096626640205652,0.0032372061182862856,0.01067605581869122,0.01942788842330936,0.013187137812795773,0.010267838488109934,0.3160142354982,1.2558117682735126,0.034751332054535546,0.9710013717412949,0.2976236467560132,0.003051036415854469,0.011215278500458226,0.021045051670322817,0.014469014344892154,0.01165306656427371,1.0286420144257136
