epoch,teacher_forcing_ratio,epoch_time_sec,train_time_sec,train_batches_per_sec,train_loss,train_agent_loss,train_position_loss,train_target_loss,train_node_loss,train_global_loss,train_kpi_loss,train_physics_loss,valid_loss,valid_agent_loss,valid_position_loss,valid_target_loss,valid_node_loss,valid_global_loss,valid_kpi_loss,valid_physics_loss
1.0,0.9,5.595676800003275,5.100388699996984,14.900825107710897,0.5068090840389854,0.014922127335969555,2.6331239279947782,2.425761939663636,0.001114516502160481,0.009520915012169433,0.05707680703581948,0.043575364508126914,0.4707587030198839,0.03704072458074532,2.3540514442655773,1.8039413491884868,0.0009852418556369634,0.01847683855642875,0.05158906471398142,0.038753285797105894
2.0,0.8886075949367089,5.154003200004809,4.662301700009266,16.30096138991798,0.404492538618414,0.0146953953601616,2.2642646337810315,1.8122199491450661,0.0005776183181871218,0.008600450954154917,0.04419871047139168,0.03387187847769574,0.4434771156973309,0.03730709709796227,2.2618748346964517,1.5430527097649045,0.0008704655871648962,0.01688990317698982,0.049540816702776484,0.037506780276695885
3.0,0.8772151898734177,5.250023800006602,4.649199300009059,16.346900852336425,0.357826156835807,0.015911655806887307,2.1109287189809898,1.243119693116138,0.0005848448712832147,0.008181446985537676,0.0413614452669495,0.03134382842108607,0.40401705354452133,0.04348254803982046,2.144888401031494,1.0412684695588217,0.0010017315200659344,0.015693360473960638,0.04613289257718457,0.03347765747457743
4.0,0.8658227848101266,5.150918200000888,4.654944300011266,16.326725971740643,0.3088494115754178,0.01664652560200346,1.7878648607354415,0.848605176335887,0.0005990514844980728,0.008052841796980877,0.03793187211512735,0.028074937112825483,0.3608493324783113,0.03903156192973256,1.8028220534324646,0.9329888307385974,0.0009463177007597147,0.015596290481173329,0.0421211537387636,0.029764464849399194
5.0,0.8544303797468354,5.125646500004223,4.634562099992763,16.3985287844387,0.26979193463921547,0.01807618568847446,1.3625163451621407,0.6949998289346695,0.0006117507758685143,0.008121873209203937,0.03502657884535821,0.025357184760076434,0.3463430123196708,0.05271295582254728,1.5282140970230103,0.8497534021735191,0.00153329872733189,0.015026073488924239,0.039543077246182494,0.02727283025160432
6.0,0.8430379746835444,5.275409800000489,4.776510800002143,15.911196097361678,0.23617988726810404,0.01875687128325042,1.1048466225987987,0.5612941972519222,0.0006460950159970181,0.008143690408599613,0.03133154687422671,0.02182544209063053,0.32358845323324203,0.05154854338616133,1.4163668155670166,0.7631784901022911,0.0016857494030975634,0.015224916808721092,0.0365379945271545,0.024627872846192785
7.0,0.8316455696202532,5.159974499998498,4.664737500002957,16.29244946793937,0.2128896489739418,0.019201591365823622,0.9409975880070737,0.468866813731821,0.0006838823901489377,0.008124791680050916,0.02859654052084998,0.019253169321209976,0.3281179492672284,0.06680170074105263,1.2493478026654985,0.6903511910802789,0.0012463447055779397,0.015604124714930853,0.03687020712014702,0.024293351504537795
8.0,0.8202531645569621,5.1444657999963965,4.654157400000258,16.329486407141232,0.1939678119593545,0.018949023962609078,0.8209292072998849,0.3966241439706401,0.000734445679546824,0.00809799091228725,0.02632717084825823,0.01713817109549908,0.29060719576146865,0.04897559403131405,1.1602719790405698,0.6572530762188964,0.002650141651328239,0.015037629494650496,0.03326689369148678,0.02188444220357471
9.0,0.8088607594936709,5.26366749999579,4.771551599988015,15.927733025079492,0.18194450732124479,0.01956949961420737,0.7216417930628124,0.33518201348028687,0.0007928181003080681,0.008136854280325534,0.02515103604252401,0.016181037908321934,0.28530623846583897,0.04821295177357064,1.0848821898301442,0.5485360451663533,0.0029058854819999803,0.01540675474744704,0.034277434564299054,0.022590650969909296
10.0,0.7974683544303798,5.163886900001671,4.671568700010539,16.268625140807316,0.171627384855559,0.020186412846669555,0.6568239370459005,0.2959258660281959,0.0006733227469100568,0.008200975306528179,0.0237322957745116,0.014935461118033058,0.25942736698521507,0.045173969533708364,1.017352796263165,0.4654970959139367,0.0013171961440497802,0.014871187404625945,0.030980630363855097,0.019756878157042794
11.0,0.7860759493670886,5.234897000002093,4.6353175999975065,16.39585602506307,0.1642770563301287,0.020193238693632577,0.6118096654352388,0.26596503253830106,0.0007493223429743299,0.008154113170396732,0.02282291170405714,0.014196687561802958,0.25216465608941185,0.045745034909082785,0.994392356938786,0.424975849274132,0.0013585768497755958,0.014530981683896648,0.02989041329258018,0.01871654267112414
12.0,0.7746835443037975,5.2016885000048205,4.706495599995833,16.147895686987848,0.16017283165925428,0.02169705696992184,0.5814053929950062,0.24395124437777618,0.0007260921227402593,0.008206684767317615,0.02206879110369635,0.013561373858369495,0.24831197245253456,0.045405542477965355,0.9737962186336517,0.39258810463878846,0.0016509909118111762,0.01457671138147513,0.029589877877798345,0.018587351724919345
13.0,0.7632911392405064,5.169846199991298,4.6664139999920735,16.286596088587316,0.1544173367713627,0.021102295502236013,0.557453806070905,0.2227661703762255,0.0007392882972980212,0.008245206517657559,0.021329886623119052,0.012931845592040764,0.2443358600139618,0.04514896362606022,0.9973450352748235,0.36910555995483363,0.0014141863697053243,0.014623776181704469,0.028706599751280412,0.018343983864825632
14.0,0.7518987341772152,5.230405599999358,4.742466399999103,16.02541664818424,0.15139008274203852,0.02242485873744284,0.5390781411214879,0.20631178684140505,0.0007129746525989551,0.008200439158827066,0.02069557823338791,0.012446953179804902,0.23954519712262684,0.0459407035054432,0.9583885702821944,0.3381637725461688,0.0013386501781901137,0.014262519362899993,0.02829392606185542,0.017569426395412948
15.0,0.740506329113924,5.1290128999971785,4.640952100002323,16.375950098679525,0.14751378897773593,0.022255558912691317,0.5236700686969256,0.19049326957840668,0.0007542483761330674,0.008185634702002923,0.020152544823328133,0.011967691801194297,0.2443865794274542,0.04824208954556121,0.9748274112741152,0.3365885264033245,0.001505713735241443,0.014009911411752304,0.028764516943030886,0.01814129115599725
16.0,0.7291139240506329,5.1222265000105835,4.627768600010313,16.422601596767528,0.146556359176573,0.023087542553089167,0.5152986371203473,0.17994754094826548,0.0007535620741117256,0.008222882678781292,0.01993251547805573,0.011838303192665703,0.2393665442036258,0.04849167416493098,0.958789001736376,0.3159524755448931,0.001320066531964888,0.01420232793316245,0.02790385050078233,0.017792001702926226
17.0,0.7177215189873418,5.259153199993307,4.760144999992917,15.965900198442082,0.1433935759491042,0.023296552171048365,0.5073131381681091,0.16996419057250023,0.0007583845956679923,0.00820385072821457,0.01931773040345625,0.011303093394656715,0.23248786562018925,0.045484684821632176,0.9313587115870582,0.3138151882837216,0.0013992861430678102,0.013804194051772356,0.027385250975688297,0.01688481220561597
18.0,0.7063291139240506,5.149040499993134,4.656861800001934,16.320003312094947,0.14143131153756067,0.0233267033962827,0.49552397233875173,0.16085955794704587,0.0008123666392700551,0.008290019229446588,0.019045761320739985,0.01111453483616443,0.23468813921014467,0.05075785952309767,0.9083117180400424,0.2934407446300611,0.0017942188230032723,0.01368092792108655,0.027091876707143255,0.01701748888525698
19.0,0.6949367088607595,5.288427799998317,4.679070800004411,16.242541147256922,0.13890036283747145,0.023439104007066863,0.48777578849541514,0.15281641159794832,0.0008060616865374246,0.00824269935439684,0.018595721928010647,0.010755308873118147,0.2272210775150193,0.044072861369285316,0.9060737755563524,0.2833520835265517,0.0016499489882133072,0.014303590895401107,0.02693084513561593,0.0168664305884805
20.0,0.6835443037974683,5.139593700005207,4.650952600000892,16.340738454308354,0.13978915808624343,0.025043068551703504,0.4827046417876294,0.1479990598990729,0.0008149427632911523,0.00833721089446427,0.018514687268945732,0.010758310237801388,0.220968765930997,0.04616507567051384,0.8615945743189918,0.2719123089272115,0.0015352070234560717,0.01375739478195707,0.025708935740921233,0.015300742040077845
21.0,0.6721518987341772,5.146252099992125,4.657631599999149,16.317305988737683,0.13684819403447604,0.024655292962530728,0.4737052023410797,0.14241954380352245,0.0007802738837199286,0.008319151563275801,0.0180718093914421,0.01036926486382359,0.2301516996489631,0.04981400207098988,0.9144933683176836,0.27946849581268096,0.0015086964057344529,0.013611062119404474,0.026379960382150278,0.01601729322121375
22.0,0.6607594936708862,5.231906699991669,4.743946300004609,16.020417431775346,0.1360334163825763,0.025155174178316406,0.4688950220220967,0.1376063846247761,0.000822045449718931,0.008410441977167992,0.017830171070894914,0.010213143504714887,0.22118941404753262,0.0465934376956688,0.8801821950409148,0.26538909288744134,0.001925194357884013,0.013994980862157213,0.025349309150543477,0.01499065474814011
23.0,0.649367088607595,5.152213399996981,4.657281699997839,16.318531902426102,0.13421869003459028,0.02479093965437067,0.4654353072768764,0.1319508785872083,0.000852690517939137,0.00840369550707309,0.017575513816585665,0.010033674145999708,0.2210121535592609,0.049125750031736165,0.8550169327192836,0.2666589379724529,0.0014712548872921616,0.013853506081634097,0.025119462567898963,0.014948801266857319
24.0,0.6379746835443039,5.161315100005595,4.66633659999934,16.286866232498262,0.1332887802273035,0.024837791895199763,0.45881624990387965,0.13020222810538193,0.0008858278436635278,0.008428876858057552,0.017421339712056675,0.009896762914171344,0.220220314959685,0.046188744302425117,0.8702567774388525,0.2570657905113573,0.0019016708182688388,0.01386095288520058,0.025475705301182136,0.015369610899748901
25.0,0.6265822784810127,5.32840070000384,4.839001200001803,15.705720428416443,0.1339073135076385,0.026012722991014783,0.4615801372810414,0.12783191274655492,0.0008850853850354293,0.008418340585194528,0.017280140511789603,0.00984399458761082,0.23188691751824486,0.054791482579376966,0.8291980272365941,0.26989218573241186,0.0015611041518342164,0.013540032526685132,0.026759947029252846,0.01605800549603171
26.0,0.6151898734177215,5.13067779999983,4.639451700000791,16.38124608560685,0.1321922638698628,0.02632887364904347,0.4524398391184054,0.12483879825786541,0.0009103737385502379,0.008492838640354182,0.016899061585335357,0.009514724155642876,0.2105860561132431,0.04111892388512691,0.8146786068876585,0.2528824492150711,0.0018270078192775447,0.01343694246477551,0.02520628206224905,0.014976105549269252
27.0,0.6037974683544305,5.21075079998991,4.721421799986274,16.096846081453883,0.13176303307868933,0.026148218710563685,0.4543427060309209,0.12341849084355329,0.0009920835015547805,0.00859255490113834,0.016785529037741453,0.009426662318506524,0.21205421454376644,0.04398361676269107,0.8257559136384063,0.25169981990216506,0.0016760032675746414,0.013657489325851202,0.02471607970073819,0.01471164853622516
28.0,0.5924050632911393,5.165984799998114,4.673045099989395,16.26348523796025,0.1323010611690973,0.026935391912334843,0.45312041710866124,0.12345586775949127,0.0010954573418099532,0.0085710510856619,0.016717586629582865,0.009429240182630326,0.21264153139458764,0.04449584583441416,0.7769549298617575,0.24230232123389012,0.0017349517503235904,0.013156731975161366,0.025572784451974764,0.014941481821652915
29.0,0.5810126582278481,5.148816100001568,4.656652899997425,16.3207354363994,0.13152223629386803,0.02673171159174097,0.45151436054392863,0.12176304986994517,0.001259542834687684,0.008677590325915892,0.016547380052016752,0.009261303103381866,0.2062501654856735,0.03975485203166803,0.8092161305248737,0.2448872118645037,0.001743094329463525,0.013532302031914393,0.024628686511682138,0.014466961354224218
30.0,0.5696202531645569,5.22601399999985,4.734908700003871,16.05099587240993,0.1290670460776279,0.025048330891877413,0.44942301668618856,0.12070163457017195,0.0015252947571417807,0.008725713883330556,0.016315368482058768,0.009086947238660957,0.21513242688443926,0.04490387294855383,0.8210956793692377,0.25198528439634377,0.00204468178950871,0.013617925501118103,0.025227975100278854,0.014863571152091026
31.0,0.5582278481012658,5.117081399992458,4.6251470999995945,16.431909808880818,0.12784745191272937,0.0240179529217513,0.45057701084174606,0.11998114519213375,0.001840204352782549,0.00877772791213111,0.01617091498337686,0.008948584975625732,0.2055658164123694,0.0398902694384257,0.7816682958768474,0.23276806351107857,0.0019143393211480644,0.013187609147280455,0.024962945686032374,0.014519784638347724
32.0,0.5468354430379747,5.143405900002108,4.654338699998334,16.328850326261644,0.12665233104244658,0.02214150557196454,0.4544060112614381,0.12208203951779165,0.002077798054271721,0.008893052220197492,0.01617889297439864,0.00898890102306675,0.207331330411964,0.0400895859218306,0.7652404349711206,0.2426210878442766,0.002312497213198286,0.013778495809270276,0.025189418914831348,0.014942785349881483
33.0,0.5354430379746835,5.467600599993602,4.953880599990953,15.341508230969232,0.12241638794933495,0.019476681175690732,0.44740052403588043,0.11912580354041175,0.00205921315385862,0.008840126653299913,0.015928512598436913,0.008766725916709555,0.22116676883565056,0.04618567880243063,0.8102671408818828,0.24772275153857967,0.0030655949441198674,0.015293240029778745,0.02593069000997477,0.01638794610173338
34.0,0.5240506329113924,5.141449300004751,4.64925879999646,16.3466916490125,0.12463754356691711,0.019850519902415965,0.4556168380536531,0.11991799211031512,0.0019580929993504755,0.009065356467066235,0.01624670807321213,0.009082676530325491,0.19897830983002981,0.03744951325158278,0.775304758714305,0.233323206142005,0.0018153359382672028,0.013838074687454436,0.02386099710646603,0.013813220067984529
35.0,0.5126582278481013,5.259006299995235,4.7644980999903055,15.951312899076324,0.12275868918942778,0.019018719842853516,0.45142469437498794,0.11914692456392866,0.0018791601392685582,0.009031079476699233,0.016075286928466277,0.008989209909678289,0.2031969092786312,0.03731325765450796,0.7326735146343708,0.2199158084889253,0.0017867074445045243,0.013348207912511297,0.025779817305091355,0.016427052672952414
36.0,0.5012658227848101,5.113202200009255,4.622702599997865,16.440599055633623,0.12026420490522134,0.018144627285533045,0.4487432911992073,0.11899798628138869,0.0017615520474991125,0.008898428255250971,0.015768133128355993,0.008695796732545683,0.18840443674061033,0.03187232658577462,0.7425444978806708,0.21949431238075098,0.0017644453069402112,0.013323722458961938,0.023335499844203394,0.013618109877117805
37.0,0.489873417721519,5.144561499997508,4.648129000008339,16.350664966455028,0.11882634794241503,0.017785115008193412,0.4491382896115905,0.11858670138999035,0.0016439260767870827,0.008959255904253376,0.01551295024048733,0.008499109118833746,0.19489750266075134,0.03428280488070515,0.7389581600824991,0.21573532895288533,0.0017433886856047644,0.01315679101066457,0.024494960334979825,0.014214634403793348
38.0,0.47848101265822784,5.320243499998469,4.821559399992111,15.762535249513746,0.11867273422448259,0.017532903051592018,0.4462425395062095,0.11731013381167461,0.0015863246027086127,0.009114568942765655,0.015565325910421578,0.008504835484353336,0.19368060761027867,0.03407212295052078,0.7900530820091566,0.22848760878615496,0.0015014296028918277,0.013255622082700333,0.023481099193708763,0.01343122243674265
39.0,0.4670886075949367,5.1274119000008795,4.62784709999687,16.422323027926183,0.12005634556867574,0.018527813660176962,0.44721501085319015,0.11567022474972825,0.0015614952671488649,0.009149588816063968,0.015668296389967987,0.00863628256698384,0.18769507358471552,0.030693518101341195,0.7793578861488236,0.2294360966447534,0.0015485634859133926,0.012947996095236804,0.023016323542429343,0.013144617900252342
40.0,0.45569620253164556,5.146733699992183,4.658093699996243,16.31568725207509,0.11830399273649643,0.01705495372267538,0.449875908070489,0.11483762903433097,0.0015210223408710015,0.009085242850951067,0.015601774113938996,0.008605869486927986,0.18545711206065285,0.031156184151768684,0.7528671096596453,0.22187708388082683,0.001544665726315644,0.012664977461099625,0.022838517661309905,0.013025291095901694
41.0,0.4443037974683544,5.23428970000532,4.737980799996876,16.04058842957956,0.11793002388194988,0.017719050759057466,0.44834352127815547,0.11711708387654078,0.0015275198338234699,0.00923607954877968,0.015293585908550181,0.008309654168490516,0.18280905195408398,0.033499164713753596,0.6978806306918462,0.20960598495892352,0.001593584466415147,0.012446316114316383,0.022473913720912404,0.012883324486513933
42.0,0.4329113924050633,5.132219499995699,4.6409591999981785,16.37592504584609,0.11745734228507469,0.017088460368349365,0.4477048088845454,0.11454072976975065,0.0015039540686350513,0.009188258340337166,0.015391098065791945,0.008397081223512558,0.1787857794099384,0.02885392877376742,0.7092898488044739,0.20316429445261341,0.001634013557729001,0.012897139570365349,0.022444497224771313,0.013024724955256615
43.0,0.42151898734177223,5.252826700001606,4.75526340000215,15.98229027648934,0.11628773239882369,0.01703033672253552,0.44638284570292425,0.11395053555698771,0.0014690583859766392,0.009180544857180825,0.015147780509371506,0.00823532326735164,0.18902000370952818,0.0326369884941313,0.7315479943321811,0.19760735446794164,0.0018097607211934195,0.013397159054875374,0.023679581781228382,0.01366807513922039
44.0,0.41012658227848103,5.178288199997041,4.687606300009065,16.212965666475238,0.11637057060081708,0.017285954672843218,0.4468969808597314,0.11447736964021858,0.0014212747582381493,0.009178742533549666,0.015103970188647509,0.00821757501628446,0.1813802764647537,0.028576116698483627,0.7281393706798553,0.20218650111928582,0.0015207036566506657,0.013043430737323232,0.022930932748648856,0.013153737139267227
45.0,0.3987341772151899,5.204300199999125,4.699047100002645,16.173491855392815,0.117731064950165,0.017513148596902426,0.44814386454067734,0.11689744144678116,0.001419934134709796,0.0093149359913935,0.015307745148770903,0.008367744648191882,0.18848775285813543,0.032000993895861835,0.7075589489605691,0.1888770728190947,0.0016472599494995342,0.013382737938728597,0.02415874010572831,0.014166687692825993
46.0,0.3873417721518987,5.238051699998323,4.743069300006027,16.023379628862564,0.11642692855706341,0.0176150044426322,0.44665451857604477,0.1142223620493161,0.0013936022265912278,0.00927031206236662,0.015026041294301027,0.008109272316735434,0.17281646405657133,0.027719424106180668,0.6807345822453499,0.18924024419134688,0.0015345894401737799,0.012142009308768643,0.02198042430811458,0.012495047102371851
47.0,0.3759493670886076,5.152048100004322,4.655195800005458,16.32584390970427,0.1160990983051689,0.017481597998228512,0.4484780760187852,0.11265480939887072,0.001405627855810484,0.009491569240038333,0.01491591469139645,0.008062861430899878,0.18148581435283026,0.03574633619023694,0.6808535740193393,0.19096058231985402,0.0015732726767762667,0.012297091695169607,0.022069600824680593,0.012682570286819505
48.0,0.3645569620253165,5.2693911000096705,4.671893100006855,16.267495504100573,0.11628167429252674,0.017419663797083654,0.44870056800152125,0.11484861334687785,0.0014195873855466121,0.009323659395848057,0.01498532599132312,0.008133854281990543,0.17538418372472128,0.030267623253166676,0.6914942214886347,0.191526564821187,0.0014655560242115622,0.012462256890204217,0.02175942725605435,0.012275256850342784
49.0,0.3531645569620253,5.117247399990447,4.619895600000746,16.450588190778106,0.11882882408405605,0.01793441249939956,0.4587063522715318,0.11890601866731518,0.0014260635928765527,0.00961319564253484,0.015243633490938106,0.008294546100507049,0.16907939811547598,0.025912658363166783,0.6631759769386716,0.18275311881572837,0.0015224450714110087,0.01220555929467082,0.021785569584204093,0.012500422269416353
50.0,0.3417721518987342,5.185659700000542,4.674152499996126,16.259632093745978,0.11764046402746126,0.017987853565596436,0.4582722736032386,0.11943441501965649,0.0014146872900279337,0.009488030159110693,0.01496613954537009,0.008098395841539298,0.17627842351794243,0.027243209588858817,0.7220762318207158,0.20191290048468444,0.0014716871794209713,0.012809921107772324,0.022138536390331056,0.012319737683153816
51.0,0.330379746835443,5.283363700000336,4.789617799993721,15.867654408687816,0.11686219471065622,0.017342464067041874,0.4521707178730714,0.11465047966492803,0.001379962943151201,0.009552144445478916,0.015061640793359593,0.00822562399001694,0.1741723045706749,0.027069609224175412,0.6553609942396482,0.17770144000597712,0.0015411699763111149,0.012340576646642553,0.02289195664020048,0.012930118375354342
