weight_set,energy_weight,throughput_weight,queue_weight,direct_mean_regret,direct_regret_reduction,direct_top1,absolute_mean_regret,absolute_regret_reduction,absolute_top1,absolute_minus_direct_regret,difference_ci_low,difference_ci_high,positive_episodes,sign_test_p
equal,1.0,1.0,1.0,0.3465702917286223,0.3152403193506197,0.4024390243902439,0.46049138237115206,0.09015302390323188,0.17560975609756097,0.11392109064252975,-0.007221935094457638,0.22801081374557766,8,0.3876953125
energy_priority,2.0,1.0,1.0,0.6928500460612643,0.3275625761922686,0.424390243902439,0.9110510636063318,0.1157901574064919,0.1975609756097561,0.2182010175450675,-0.03449539411755485,0.4709946346190745,8,0.3876953125
throughput_priority,1.0,2.0,1.0,0.39096686369274686,0.21746856521117686,0.3829268292682927,0.4465887920135064,0.10613967415515324,0.15365853658536585,0.05562192832075952,-0.005790330755785531,0.11896958900689099,8,0.3876953125
queue_priority,1.0,1.0,2.0,0.38791611186470065,0.34018257339227065,0.40487804878048783,0.5485147707432827,0.06701579692468773,0.15853658536585366,0.16059865887858205,0.040910438240334926,0.2730736375813095,10,0.03857421875
