weight_set,episode_id,decision_states,direct_regret,absolute_regret,absolute_minus_direct_regret
equal,0,33,0.41983251250925124,0.1660516696671228,-0.2537808428421284
equal,1,35,0.20101694303069628,0.15451707710713525,-0.04649986592356107
equal,2,35,0.35103905054400386,0.5973062433143467,0.24626719277034276
equal,3,33,0.5283227810936474,0.9094473103794347,0.3811245292857874
equal,4,35,0.197757735855177,0.5454776616139886,0.3477199257588116
equal,5,35,0.5794106141194896,0.9532416209458361,0.37383100682634646
equal,6,34,0.1736743130343279,0.3884050721343138,0.21473075909998587
equal,7,35,0.3640103008111786,0.5001166641246848,0.1361063633135062
equal,8,35,0.3737755568756367,0.1656583808350198,-0.20811717604061683
equal,9,34,0.22012682467352665,0.271018874756157,0.05089205008263028
equal,10,33,0.6017557226533358,0.5592360511300812,-0.04251967152325454
equal,11,33,0.15794425293775768,0.31405087488278366,0.15610662194502598
energy_priority,0,33,1.0238102942699896,0.36171614176803063,-0.662094152501959
energy_priority,1,35,0.4721090086833718,0.3062005382672595,-0.1659084704161123
energy_priority,2,35,0.6382584883445971,1.1262922245375337,0.48803373619293655
energy_priority,3,33,1.0005782095382478,1.5641572290584385,0.5635790195201906
energy_priority,4,35,0.37030254603147544,1.1952821896964394,0.8249796436649638
energy_priority,5,35,1.1486956169229532,2.025221258112752,0.8765256411897991
energy_priority,6,34,0.45659881628325905,0.8900240992334691,0.4334252829502101
energy_priority,7,35,0.6361150040292093,0.8633084224933895,0.22719341846418023
energy_priority,8,35,0.7120400371082817,0.36743896138678855,-0.3446010757214932
energy_priority,9,34,0.4387953041032718,0.5368754489803212,0.09808014487704952
energy_priority,10,33,1.0746722970048763,0.935268745914952,-0.13940355108992422
energy_priority,11,33,0.36796629775598494,0.747504114532261,0.37953781677627607
throughput_priority,0,33,0.21939314140932364,0.12674614799160944,-0.09264699341771422
throughput_priority,1,35,0.4281677184378738,0.4111104640900908,-0.01705725434778301
throughput_priority,2,35,0.3185217347798712,0.6029657200472068,0.2844439852673355
throughput_priority,3,33,0.5357792595899777,0.6753601002157402,0.13958084062576268
throughput_priority,4,35,0.35778738097998813,0.4859886655284779,0.12820128454848984
throughput_priority,5,35,0.7685480826484044,0.8970074419749912,0.12845935932658667
throughput_priority,6,34,0.1951138076151838,0.28742300189499903,0.0923091942798152
throughput_priority,7,35,0.6881255655914705,0.6333224779491953,-0.054803087642275254
throughput_priority,8,35,0.19817514478483841,0.22995394676572758,0.031778801980889136
throughput_priority,9,34,0.24592682269394495,0.313787561638888,0.067860738944943
throughput_priority,10,33,0.4980765984835526,0.5768436078197993,0.07876700933624657
throughput_priority,11,33,0.22325511356957592,0.09220288618304248,-0.13105222738653347
queue_priority,0,33,0.4994226827627478,0.1660516696671228,-0.333371013095625
queue_priority,1,35,0.15744160335702004,0.1711891486110636,0.013747545254043559
queue_priority,2,35,0.5723727152375044,0.7341744028179118,0.1618016875804075
queue_priority,3,33,0.6925820813245896,1.0831289143599783,0.3905468330353887
queue_priority,4,35,0.12968371216357463,0.5660672113508974,0.4363834991873228
queue_priority,5,35,0.6150814778045429,1.0614006806300331,0.44631920282549037
queue_priority,6,34,0.1931109205425959,0.40025974080088295,0.20714882025828704
queue_priority,7,35,0.46909487366034536,0.6550100131924537,0.18591513953210836
queue_priority,8,35,0.1884902934533294,0.34302742759496796,0.15453713414163855
queue_priority,9,34,0.23296000048202767,0.3551611796937066,0.12220117921167895
queue_priority,10,33,0.7670057598622908,0.7284756247574907,-0.038530135104800065
queue_priority,11,33,0.1601843518388252,0.31405087488278366,0.15386652304395845
