epoch,teacher_forcing_ratio,epoch_time_sec,train_time_sec,train_batches_per_sec,train_loss,train_agent_loss,train_position_loss,train_target_loss,train_node_loss,train_global_loss,train_kpi_loss,train_physics_loss,train_congestion_loss,valid_loss,valid_agent_loss,valid_position_loss,valid_target_loss,valid_node_loss,valid_global_loss,valid_kpi_loss,valid_physics_loss,valid_congestion_loss
1.0,0.9,9.809727899999416,8.766999999999825,8.098551385879025,0.7320590938480807,0.022077841421877836,2.7145244370044117,2.5473143030220355,0.0012973534897573187,0.010634051380075619,0.06188557113350277,0.047274663021237076,0.0818891445515861,0.6305921450257301,0.10092598168800275,2.4065783321857452,1.8084074209133785,0.0019216667618214462,0.041499521816149354,0.04637487830283741,0.03858587370874981,0.03535161764981846
2.0,0.8886075949367089,8.88377170000058,7.840700700000525,9.055313130367958,0.4599937632889815,0.021161877733825798,2.17844042307894,1.8434279603017887,0.0008666217892798005,0.006530778639962975,0.03981862673667115,0.03346513959408646,0.027166994734549185,0.5967829513053099,0.10164600308053195,2.2120933880408606,1.6088430285453796,0.0016130130728318666,0.03543511522002518,0.044720206409692764,0.036721728198851146,0.03490015173641344
3.0,0.8772151898734177,8.869301799999448,7.826085599999715,9.072223794741344,0.4043623914181347,0.02298238760673664,1.816164060377739,1.6169445027767773,0.0008878265048416567,0.006357552050809625,0.03596118598861594,0.02931307733688556,0.021988955313261126,0.5808669899900755,0.10762606452529629,2.1208530962467194,1.583519456287225,0.004097589660280694,0.031062942153463762,0.04418242443352938,0.0360331271464626,0.029057745588943362
4.0,0.8658227848101266,8.92608189999919,7.8777721999995265,9.012700316468184,0.36774741386024046,0.022470259343759274,1.686716939362002,1.358070860446339,0.0008886048617825227,0.006016156950991758,0.03320720773452605,0.02691260809209985,0.019923932509313166,0.5316174464921156,0.10147227067500353,2.084631790717443,1.285152497390906,0.003037276833007733,0.030397166245772194,0.04087059269659221,0.032912346767261624,0.024141486501321197
5.0,0.8544303797468354,8.868882599999779,7.823982800000522,9.074662076199255,0.34215425185754267,0.02515213472217741,1.6325218559990466,0.9879280437885876,0.0009000986506244247,0.006152685397160305,0.03184759430587292,0.025612697713601758,0.019365053886259104,0.5247250720858574,0.10889801538238923,2.084742615620295,1.0335394740104675,0.0035299798958779625,0.02693536887333418,0.041216869528094925,0.033447317546233535,0.02392823260743171
6.0,0.8430379746835444,8.854683900000964,7.802361300000484,9.09980931029118,0.32149062777908755,0.024274031579179664,1.5962410762276449,0.7564647936485183,0.0010285290830414479,0.006061873405279828,0.0307040354630477,0.024614384319161027,0.018683783132845248,0.5634813643991947,0.15439452975988388,2.08113195002079,0.8967631291598082,0.00626835929385076,0.025147416008015473,0.04121569093937675,0.03319848817773163,0.02365715642614911
7.0,0.8316455696202532,8.903211800001372,7.795703400001003,9.10758097851579,0.30449937682756234,0.026174268803336252,1.5460316026714487,0.6168734322131519,0.0012350578425111066,0.005915916255924483,0.02929265301307322,0.023225089640054906,0.017122862021058376,0.5233115144073963,0.12079453313102324,2.0739959428707757,0.8840137223402659,0.006680694369909664,0.0236377470040073,0.04069173887061576,0.03255006445882221,0.022628030506893992
8.0,0.8202531645569621,8.803780300000653,7.757016800000201,9.15300325248724,0.29666056851266137,0.027297989504647926,1.5304785765392679,0.5347550032844006,0.0012183241729795094,0.005981898578015012,0.028481084722238526,0.02250254615931444,0.016862531586117308,0.543901365250349,0.12831890676170588,2.06355910996596,0.7633882627512018,0.004941961223570009,0.02610669160882632,0.044026104267686605,0.03632847274032732,0.024458888297279675
9.0,0.8088607594936709,8.850973100001283,7.747113400000671,9.164703849564646,0.28394065482515685,0.02694080821172872,1.4901766306917432,0.4650199127868867,0.0011724450979644144,0.005846623770735213,0.027253932358933166,0.02129166562792281,0.016279693679805373,0.5154864154756069,0.13032613275572658,2.024047573407491,0.7384748055289189,0.004688940796768293,0.02150398473410557,0.04000041253554324,0.03192828386090696,0.02243772513854007
10.0,0.7974683544303798,8.825898700000835,7.7707086999998864,9.13687576526978,0.2727577784951304,0.02848267539496153,1.4567080450729586,0.41793811321258545,0.0011793128198379992,0.00587375694229989,0.025809876673238377,0.019927788604523093,0.015143160721365834,0.4841472307840983,0.11086584891503055,2.0042458325624466,0.7348825292040905,0.004311205693132554,0.02148722504110386,0.03794747327143947,0.030001572876547773,0.021867925223583978
