episode_id,state_id,graph_regret,flat_regret,flat_minus_graph_regret,graph_top1,flat_top1,baseline_regret
0.0,600.0,0.023312686715772257,0.0,-0.023312686715772257,0.0,1.0,0.023312686715772257
0.0,720.0,1.6860193011439022,1.613024590790743,-0.07299471035315919,0.0,0.0,1.6860193011439022
0.0,840.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,960.0,0.0,0.0,0.0,1.0,1.0,0.16620314159631755
0.0,1080.0,0.0,0.0,0.0,1.0,1.0,0.36054804462121387
0.0,1200.0,0.7402180353628062,1.18644528777957,0.44622725241676375,0.0,0.0,0.6693353850911943
0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1560.0,0.0,0.0,0.0,1.0,1.0,1.0685500525129512
0.0,1680.0,0.0,0.0,0.0,1.0,1.0,0.12215631913670044
1.0,600.0,0.0,0.0,0.0,1.0,1.0,0.09364098831170183
1.0,720.0,0.0,0.0,0.0,1.0,1.0,2.7946012935469553
1.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,960.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1080.0,0.0,0.0,0.0,1.0,1.0,1.049675406181207
1.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1320.0,0.0,0.0,0.0,1.0,1.0,0.3131942094219945
1.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1560.0,0.0,0.0,0.0,1.0,1.0,0.07641675869999846
1.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,600.0,0.0,0.0,0.0,1.0,1.0,0.7021576368441326
2.0,720.0,0.0,0.0,0.0,1.0,1.0,0.1669295221693284
2.0,840.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,960.0,0.0,0.0,0.0,1.0,1.0,0.5418967730636923
2.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1440.0,0.0,0.0,0.0,1.0,1.0,0.17276219749968483
2.0,1560.0,0.0,0.7452974357158872,0.7452974357158872,1.0,0.0,0.0
2.0,1680.0,0.0,0.0,0.0,1.0,1.0,0.04886355327169861
